model_name,mae,parameters
LinearRegression,2175.105580479926,None
Polynomial,1265.1136827025532,2
Lasso,2175.105247247386,{'alpha': 1}
AdaBoostRegressor,1587.160060259901,"{'learning_rate': 0.001, 'n_estimators': 50}"
KNeighborsRegressor,1188.3567353775425,16
