"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4419012967233","73.5993652155959","73.4452151208163","72.3025770584426","73.8048063920929","70.7921323520641","74.3380855397149","77.5539568345324","78.5516860143726","74.7054399598897","75.8149568552253","77.0967741935484","78.1456953642384","77.2486772486772","82.2043371339146","87.6139284879645","87.467134092901","90.5444126074499","89.9588833585804","86.9702719797596","84.5371523453715","82.7775432672014","82.9540752999586","","",
"Afghanistan","AFG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","86.776852059286","87.0445260682851","85.365849890938","93.4911172613011","95.2777674845685","98.8962500787003","101.587304006047","102.257630297756","99.8381881916297","98.4227106051409","96.6963193019079","99.7572720464235","96.7966654382729","94.4871828578239","92.0618589624828","91.8309912789791","88.0000023130435","90.7449203549233","89.1582441287852","","","","","","","","","","","","","","","","","","","","","","","","132.122532141816","147.518576003766","139.652624108861","133.764176088788","129.576804271896","127.711915814153","129.527143105655","113.64344003216","114.542405261751","109.256975176756","98.9666649663947","95.6211164339328","95.1889025781649","97.0518196357479","95.0459668635448","92.8442946350037","","",
"Angola","AGO","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6822281083192","69.0646882869939","60.6384273766316","64.8074388096827","55.925542659498","47.9818468001013","44.388661401761","46.5179217930882","45.6105973341597","62.1106774918708","52.8400957822127","52.2182572858415","53.2522569399204","59.1747926563501","62.4424031366128","69.1768326702311","69.9064777187567","70.1183167626424","","",
"Albania","ALB","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","67.415421055405","65.6948213760848","68.983982495845","68.9347115568077","72.7110265086007","71.9642648474598","72.0339759968198","74.2900716492545","76.6257409403719","73.6377585893151","81.8680223533638","117.099908107101","186.912123638379","138.491641087268","115.806121399801","105.416463107946","103.590986135177","108.371790123174","105.460594211627","97.5928103928632","92.4272413238502","88.8355305959382","91.3697797687765","91.4289207420595","88.415311184197","87.9766931889361","88.1503562764921","92.244376277695","93.4726902420337","91.9721417981425","89.266727564767","89.2735994414988","88.8116964820969","91.0548674755732","92.2392229655882","91.8053952187363","92.2303767999408","91.2081847195962","90.8296852549124","",
"Andorra","AND","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0434145467197","71.5192164641706","68.3242748466043","69.5086436353924","64.2155473409355","62.9445289638762","66.9363395365484","65.6796815349683","62.5216482356129","58.7511886371922","49.0443935919666","42.5862334664065","44.9924267277182","47.622222177193","47.8088973131364","48.712142935585","47.2311525850049","51.6757918099866","",
"Argentina","ARG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","79.0364791888187","70.1006928300889","79.2461395242787","82.0133738769648","75.9007508054255","75.4970316256486","77.7942255677275","76.2864326203048","77.228763077663","76.0094029790157","74.694222005323","76.4876920807954","75.748565291364","77.2030183884084","77.1261069354123","70.7137838655696","66.0167676859945","66.7688129387108","69.3068526185921","73.9620337032433","76.1639431928657","77.7597922464257","75.6755519963391","75.796876427071","77.2024983563445","76.9481621112158","80.7003134984626","80.1476922549427","78.0401937656444","78.0064379577354","80.2748020106189","83.7659849814264","84.832196249988","82.716341043641","83.1088093536358","81.910244378841","81.0254053145373","81.3883852297522","81.54813118993","83.8654765221869","83.1162031113242","83.0682586224061","74.133671156184","74.6358632064367","75.4461369173024","75.1712533824236","75.6996034278587","75.5205568037984","76.7080967360791","78.882044434113","79.3978326526411","79.9092777965726","81.5488369177742","82.793803323967","82.332955462195","84.0042171039133","83.376469651473","83.9806576090792","81.1892417557447","",
"Armenia","ARM","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9250645994832","75.7937005897854","112.688997066314","110.586216133567","105.830589061408","117.450447827395","111.654102542135","114.735652131581","111.15006136611","108.275136010629","108.935642165136","104.836152903093","99.0717091591701","93.49071029587","92.6487204508054","86.0489738888944","82.3408402517019","81.8041653539342","81.7991823167334","93.7079261827619","95.0680721681421","96.432330841397","98.0741928818982","99.1056093962861","97.6330390280979","91.1917147345291","90.7504686673468","92.3485522033066","92.6742573897828","",
"American Samoa","ASM","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","68.8148058837714","69.3600774972933","71.0730773561536","70.0791501770464","68.7732692398322","68.9075993091537","70.584852965336","68.8269103234839","70.4186237871567","68.195438145906","67.3251743507639","68.4154388053778","69.0697778976711","69.0982552062394","68.0149986726838","72.742731067047","73.7306869788788","74.2323625538647","75.7539077392299","74.0924384629007","73.2041897280248","73.8877240490854","73.8837798593514","77.7951648630503","75.1965994619876","74.1842679797253","75.3771489613514","75.7880478533878","73.4516443752856","71.8789963159069","72.4052375622753","75.3918831866008","77.9763891552033","77.1664678167634","76.0514693410456","75.9207549229933","75.6026830983379","74.8085238190426","75.1882767638672","76.2325019632632","75.8516483932004","76.4339792303132","75.5149797216584","76.0895675189772","75.5421066873858","75.182003770717","74.2118362554319","74.0728129115501","73.8825613919153","72.3922247042999","74.1783615416716","72.5265455428477","72.5060655250097","73.4002383638166","73.6819452872326","75.265145359002","76.8534298400385","75.3346534339239","75.2707050752973","",
"Austria","AUT","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","69.2869074924927","69.5631555705843","68.7792281637954","68.7653828284126","69.2314429513531","73.4175228662292","74.2984117062904","74.9987500729144","73.7834835863382","73.291501259938","73.9880804709008","75.4229642206624","75.9962599445636","77.215207448991","76.163868812919","76.2674094764123","75.6814331670899","75.5363198035718","74.7861944025097","74.1333483205308","73.8555567292167","73.5462195388041","74.5748248531097","75.3240866697995","75.1394876748106","74.5281476710525","75.0737752551648","74.3631167585894","73.857129491566","73.475532912391","73.086425093471","73.0873241265801","72.3786053176917","73.0630176182897","72.7533137642499","73.1560004145232","72.47354003714","70.7605311778234","71.0974067400365","74.165778550098","73.9944630665627","73.2763073235476","73.3205055881469","73.5788067186523","73.1992966328554","72.4458721441628","72.0407467387145","71.5483357261926","70.8515432855154","",
