month_year,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Ni usage,Co usage,Cu usage,Al usage
2015-01,14849.190476190477,30749.47619047619,5830.535714285715,1814.7190476190476,1022.0821961067019,142.38354505937232,293.47605041428574,765.3563154429595
2015-02,14573.8375,29155.375,5729.275,1817.8200000000002,1003.1294205287647,135.00215822606864,288.379161218,766.6641396440467
2015-03,13755.5,27568.784090909092,5939.670454545455,1773.8636363636363,946.802566179527,127.65554728557714,298.9692733536364,748.1255782302907
2015-04,12844.204545454546,28657.977272727272,6038.556818181818,1815.7386363636363,884.077338095388,132.69898885580469,303.9466512245455,765.7863261853107
2015-05,13480.380952380952,30084.095238095237,6293.726190476191,1805.1785714285713,927.8658921007527,139.30253976913184,316.7904280638096,761.3326271952969
2015-06,12825.227272727272,30650.386363636364,5833.011363636364,1687.7272727272727,882.7711165463879,141.92471575322813,293.60066054090913,711.7976353540217
2015-07,11413.097826086956,31579.869565217392,5456.75,1639.5,785.5730660315592,146.22863015145882,274.66180066,691.4578214269918
2015-08,10369.190476190477,29191.333333333332,5128.238095238095,1550.0119047619048,713.7200503116176,135.16866106152224,258.1263773219048,653.7162884126677
2015-09,9937.545454545454,27714.30681818182,5217.25,1589.6022727272727,684.0095625669246,128.32938126139675,262.60673102,670.4134946236017
2015-10,10316.829545454546,27499.045454545456,5216.090909090909,1516.4886363636363,710.1160036693052,127.33262684909386,262.5483889672728,639.5778766201828
2015-11,9244.333333333334,24413.70238095238,4799.9047619047615,1467.892857142857,636.2951926588595,113.04613683471685,241.5999422552381,619.0826453725176
2015-12,8698.369565217392,24016.728260869564,4643.326086956522,1500.2282608695652,598.7160500109574,111.20797275790167,233.7186611252174,632.7200761842479
2016-01,8520.27380952381,23173.428571428572,4482.928571428572,1482.0119047619048,586.4575702380398,107.3031257749386,225.6451612514286,625.0373424797397
2016-02,8298.5,22275.880952380954,4598.619047619048,1531.2619047619048,571.1926935001131,103.14708711372784,231.4683627009524,645.8084908208677
2016-03,8708.119565217392,22973.260869565216,4955.815217391304,1525.4673913043478,599.3871506630783,106.3762616286635,249.4475890130435,643.3646593773839
2016-04,8878.857142857143,23000.5,4872.738095238095,1571.2261904761904,611.1391608882678,106.50239073511119,245.2659585619048,662.6633965451042
2016-05,8681.59090909091,23439.363636363636,4712.511363636364,1555.8295454545455,597.5611610808859,108.53452162267588,237.20105498090913,656.1698737491595
2016-06,8928.352272727272,23692.727272727272,4641.965909090909,1593.5068181818183,614.545952060848,109.70770624901306,233.65019749727276,672.0602335645366
2016-07,10262.857142857143,25085.52380952381,4864.9047619047615,1629.047619047619,706.401038071392,116.15696435107236,244.8716730552381,687.049538071055
2016-08,10310.826086956522,26283.695652173912,4745.228260869565,1638.804347826087,709.7027806013048,121.70502486078863,238.8478377556522,691.16443067576
2016-09,10191.78409090909,26625.0,4722.204545454545,1592.3636363636363,701.5090204805645,123.28541350502533,237.68895469636365,671.5780975416667
2016-10,10259.738095238095,28205.666666666668,4731.261904761905,1665.904761904762,706.1863514158905,130.60459260788394,238.14485071809526,702.5940087657934
2016-11,11128.90909090909,29258.409090909092,5450.931818181818,1737.1136363636363,766.0121177748097,135.47925120270122,274.3689464345454,732.6262949503628
2016-12,10916.045454545454,31692.886363636364,5641.75,1728.2386363636363,751.3605357054269,146.75194743694604,283.97364986,728.8832707569107
2017-01,9971.125,34630.09090909091,5744.034090909091,1787.2727272727273,686.3208707569217,160.35249117160157,289.1220500227273,753.780851659578
2017-02,10643.3,43005.0,5940.9125,1860.75,732.5872380225045,199.1319890247367,299.03179086700004,784.7698330102319
2017-03,10204.66304347826,52765.217391304344,5824.630434782609,1901.4673913043478,702.3954895541856,244.32607116505204,293.17881218608704,801.9423604182798
2017-04,9617.875,55300.0,5681.5125,1918.6,662.006377899307,256.0632250451794,285.975068259,809.1680245134655
2017-05,9160.934782608696,54983.94565217391,5606.054347826087,1914.141304347826,630.5548006817056,254.59975496210708,282.1769334808696,807.2875731672879
2017-06,8931.761363636364,57449.454545454544,5719.761363636364,1885.2863636363638,614.7806026385127,266.0161411934092,287.9002988009091,795.1180248649074
2017-07,9491.392857142857,58548.90476190476,5985.119047619048,1902.9642857142858,653.3005062528363,271.10707732724046,301.2568973809524,802.5736744454845
2017-08,10913.282608695652,58564.47826086957,6492.70652173913,2031.5869565217392,751.1703667155281,271.1791894496665,326.80596773130435,856.8201835901278
2017-09,11215.785714285714,60128.5,6577.166666666667,2096.4880952380954,771.9919084006684,278.4212952464569,331.0572116933334,884.192187240596
2017-10,11335.772727272728,59905.86363636364,6807.602272727273,2131.4886363636365,780.2507148275029,277.39039135341795,342.65603122818186,898.9536376312228
2017-11,11972.0,62118.045454545456,6826.545454545455,2097.440909090909,824.0427699684707,287.63376225305524,343.6095234036364,884.5940357254341
2017-12,11550.095238095239,72877.09523809524,6857.809523809524,2090.0714285714284,795.0027124456768,337.4528759238942,345.1831790704762,881.4859631758466
2018-01,12857.945652173914,77202.71739130435,7071.989130434783,2211.7391304347825,885.0231499600272,357.4824014008852,355.9637639278261,932.7992196982398
2018-02,13595.875,80792.6,7006.525,2181.7875,935.8154439646744,374.105130484361,352.668671438,920.1671433770314
2018-03,13386.15909090909,87884.68181818182,6793.727272727273,2065.4886363636365,921.380522595335,406.944576101864,341.95764253818186,871.1181901080868
2018-04,13905.47619047619,90914.28571428571,6843.309523809524,2241.9285714285716,957.1255527673419,420.9729693070322,344.4533314304762,945.5315924336251
