,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2015-01,14849.190476190477,30749.47619047619,5830.535714285715,1814.7190476190476,,12.544004727618805,1.221570896248577,1.4917113288038482,0.22843669030586483,
2015-02,14573.8375,29155.375,5729.275,1817.8200000000002,,12.311397499592772,1.1582427404159892,1.4658043174990942,0.22882703794652592,
2015-03,13755.5,27568.784090909092,5939.670454545455,1773.8636363636363,,11.62009857085674,1.0952129422239045,1.5196328674735524,0.22329381436563808,
2015-04,12844.204545454546,28657.977272727272,6038.556818181818,1815.7386363636363,,10.85027246428178,1.1384828399958076,1.5449324138838687,0.2285650360564605,
2015-05,13480.380952380952,30084.095238095237,6293.726190476191,1805.1785714285713,,11.387688956371365,1.1951376002369043,1.610216130864224,0.2272357359169451,
2015-06,12825.227272727272,30650.386363636364,5833.011363636364,1687.7272727272727,,10.83424122007423,1.2176343983442863,1.4923447104283636,0.21245097571803057,
2015-07,11413.097826086956,31579.869565217392,5456.75,1639.5,,9.641330503286772,1.2545595680795354,1.3960802561429122,0.2063801304382883,
2015-08,10369.190476190477,29191.333333333332,5128.238095238095,1550.0119047619048,,8.759479148945678,1.1596712412855816,1.312032245120601,0.19511537608152582,
2015-09,9937.545454545454,27714.30681818182,5217.25,1589.6022727272727,,8.39484262543619,1.100994059511169,1.3348054641245444,0.2000990084723721,
2015-10,10316.829545454546,27499.045454545456,5216.090909090909,1516.4886363636363,,8.715246719996289,1.0924424661352008,1.3345089169246074,0.19089546970473267,
2015-11,9244.333333333334,24413.70238095238,4799.9047619047615,1467.892857142857,,7.809244633433172,0.9698724008665519,1.2280299206416976,0.18477823685670908,
2015-12,8698.369565217392,24016.728260869564,4643.326086956522,1500.2282608695652,,7.348036185785059,0.9541019848551322,1.1879701054351632,0.1888486149225174,
2016-01,8520.27380952381,23173.428571428572,4482.928571428572,1482.0119047619048,,7.197587984250353,0.9206005895450019,1.146933260323522,0.18655554145523515,
2016-02,8298.5,22275.880952380954,4598.619047619048,1531.2619047619048,,7.010242302370299,0.8849441106302371,1.1765320489125715,0.19275512756324717,
2016-03,8708.119565217392,22973.260869565216,4955.815217391304,1525.4673913043478,,7.356272597479715,0.9126486154219119,1.267918775478553,0.1920257146671221,
2016-04,8878.857142857143,23000.5,4872.738095238095,1571.2261904761904,,7.500504903242736,0.9137307323585431,1.2466639388129064,0.19778582869077826,
2016-05,8681.59090909091,23439.363636363636,4712.511363636364,1555.8295454545455,,7.333862245319337,0.9311652747319733,1.2056707878539128,0.1958477002321756,
2016-06,8928.352272727272,23692.727272727272,4641.965909090909,1593.5068181818183,,7.5423164177546225,0.9412305403134854,1.1876221112146061,0.20059051234563305,
2016-07,10262.857142857143,25085.52380952381,4864.9047619047615,1629.047619047619,,8.669652983797112,0.9965615548389758,1.2446598224420895,0.2050643855500034,
2016-08,10310.826086956522,26283.695652173912,4745.228260869565,1638.804347826087,,8.710175237352031,1.044160799867391,1.214041230749323,0.20629256179761013,
2016-09,10191.78409090909,26625.0,4722.204545454545,1592.3636363636363,,8.609613300080198,1.0577196473575015,1.2081507364965236,0.2004466087087004,
2016-10,10259.738095238095,28205.666666666668,4731.261904761905,1665.904761904762,,8.66701813658832,1.120514095780278,1.210468013355789,0.2097039597802198,
2016-11,11128.90909090909,29258.409090909092,5450.931818181818,1737.1136363636363,,9.4012591779628,1.1623359303616105,1.3945917054922476,0.21866772726981187,
2016-12,10916.045454545454,31692.886363636364,5641.75,1728.2386363636363,,9.221440455510221,1.25904933664927,1.4434115151132587,0.21755054297115994,
2017-01,9971.125,34630.09090909091,5744.034090909091,1787.2727272727273,,8.423209288090867,1.3757343678618537,1.4695803518449595,0.22498174966961923,
2017-02,10643.3,43005.0,5940.9125,1860.75,,8.991035957922252,1.7084406923796938,1.519950638149563,0.2342310629539768,
2017-03,10204.66304347826,52765.217391304344,5824.630434782609,1901.4673913043478,,8.620492926291034,2.0961805495538903,1.4902004946770708,0.23935656495367066,
2017-04,9617.875,55300.0,5681.5125,1918.6,,8.124797756692143,2.19687874174159,1.4535845377338448,0.24151321638237264,
2017-05,9160.934782608696,54983.94565217391,5606.054347826087,1914.141304347826,,7.738792859227444,2.18432298987949,1.4342789737232107,0.24095195612602602,
2017-06,8931.761363636364,57449.454545454544,5719.761363636364,1885.2863636363638,,7.545196281983524,2.282269175688225,1.4633703045992188,0.23731969846953277,
2017-07,9491.392857142857,58548.90476190476,5985.119047619048,1902.9642857142858,,8.017950679708159,2.3259465501569894,1.531260646547088,0.23954499390370135,
2017-08,10913.282608695652,58564.47826086957,6492.70652173913,2031.5869565217392,,9.21910651336993,2.32656523169063,1.661124182696719,0.2557360055405195,
