Unnamed: 1,Cash Price ($/MT)
2009-01-01,0.0
2009-01-02,0.055730875942366254
2009-01-05,0.01709823754424633
2009-01-06,0.03309741079092632
2009-01-07,-0.030119407544036747
2009-01-08,-0.07083752085859985
2009-01-09,-0.013334904046990559
2009-01-12,-0.11228284374261577
2009-01-13,-0.0494782246028187
2009-01-14,-0.07126769117305543
2009-01-15,-0.06884571481423585
2009-01-16,-0.044240980594713264
2009-01-19,-0.00241787029743179
2009-01-20,0.017686013767463038
2009-01-21,-0.03343029983621015
2009-01-22,-0.020867210722100182
2009-01-23,0.06250851739914687
2009-01-26,0.038158588656848735
2009-01-27,-0.0042950330972448825
2009-01-28,0.021986756278025155
2009-01-29,-0.007272567043139944
2009-01-30,-0.021249041544164626
2009-02-02,-0.010606239171332632
2009-02-03,0.01296874053620023
2009-02-04,0.021550361048756628
2009-02-05,-0.0037619884864383835
2009-02-06,0.0009662774231262716
2009-02-09,0.00022541441328094436
2009-02-10,-0.0535032068033825
2009-02-11,-0.07740584635462255
2009-02-12,-0.0747281646877962
2009-02-13,-0.059955171632847026
2009-02-16,-0.05358463697584881
2009-02-17,-0.0789024381636132
2009-02-18,-0.08412686793253599
2009-02-19,-0.05383882341455326
2009-02-20,-0.08079981150578774
2009-02-23,-0.06789841353888271
2009-02-24,-0.03145271315969289
2009-02-25,-0.0026650918801660595
2009-02-26,-0.003779102863884276
2009-02-27,-0.007787249638885996
2009-03-02,-0.04655499051648526
2009-03-03,-0.030322167021653357
2009-03-04,0.007630798298849939
2009-03-05,-0.010890180378703818
2009-03-06,-0.007134408159656047
2009-03-09,-0.021407858844723293
2009-03-10,0.004239781994250791
2009-03-11,-0.008342167685080781
2009-03-12,-0.03763978890836306
2009-03-13,-0.018593471860501865
2009-03-16,0.026894920224259877
2009-03-17,0.023010187803912174
2009-03-18,0.0001608800859571602
2009-03-19,0.011382111182607346
2009-03-20,0.0071541639921548494
2009-03-23,-0.005139093120478222
2009-03-24,-0.013059976116112537
2009-03-25,-0.02482237082499239
2009-03-26,-0.009862732745654412
2009-03-27,-0.010544159819053434
2009-03-30,-0.020448833282996404
2009-03-31,0.007071969970796843
2009-04-01,0.02739579671935033
2009-04-02,0.06291292847916452
2009-04-03,0.08109357319286481
2009-04-06,0.05388910613613085
2009-04-07,0.057197808905860015
2009-04-08,0.05441108732302169
2009-04-09,0.0513149884725177
2009-04-10,0.04342032768923687
2009-04-13,0.036740243501451886
2009-04-14,0.09101161579813244
2009-04-15,0.12286130688499242
2009-04-16,0.10129381142537319
2009-04-17,0.11299144759927948
2009-04-20,0.04409076920861921
2009-04-21,-0.003979932197367475
2009-04-22,-0.001963352001006058
2009-04-23,-0.013859926198403372
2009-04-24,0.0031253723612856277
2009-04-27,-0.01011327311299759
2009-04-28,-0.04264143601188408
2009-04-29,-0.00716967491266729
2009-04-30,0.02152575778951693
2009-05-01,0.034004911395278725
2009-05-04,0.028773384406648006
2009-05-05,0.031176877776209366
2009-05-06,0.07398117140790816
2009-05-07,0.10122538286288219
2009-05-08,0.07308010544618071
2009-05-11,0.05006379049262577
2009-05-12,0.05042439441825586
2009-05-13,0.0025888774348601373
2009-05-14,0.009037385025285616
2009-05-15,0.0018256554559279436
2009-05-18,-0.006004082365480556
2009-05-19,0.0036973730834120033
2009-05-20,0.01585799522186626
2009-05-21,-0.023953440306156537
2009-05-22,0.0255954820300186
2009-05-25,0.021657715431267377
2009-05-26,0.057840044622697206
2009-05-27,0.04862403412289318
2009-05-28,0.047723869717868794
2009-05-29,0.0677304096547875
2009-06-01,0.09950628858817012
2009-06-02,0.08233782135491019
2009-06-03,0.04505355803793165
2009-06-04,0.06738102339085295
2009-06-05,0.05097529307593618
2009-06-08,0.025287517024263906
2009-06-09,0.061955211341819805
2009-06-10,0.047758489305294916
2009-06-11,0.08891211430484525
2009-06-12,0.06950363213585753
2009-06-15,0.007496059447561265
2009-06-16,0.024811309234644696
2009-06-17,0.006836803730372765
2009-06-18,0.014965976798853475
2009-06-19,0.02342761780251479
2009-06-22,-0.020430850510438248
2009-06-23,-0.010793810821709826
2009-06-24,0.041207528973684404
2009-06-25,0.044640675659888274
2009-06-26,0.0446388109767728
2009-06-29,0.03766360732627483
2009-06-30,0.00883353489062344
2009-07-01,0.06754472479411966
2009-07-02,0.05498558725534508
2009-07-03,0.03329751901187805
2009-07-06,0.014469271261178918
2009-07-07,-0.003914485911524324
2009-07-08,-0.04220162710259956
2009-07-09,-0.038446326130941344
2009-07-10,-0.056104066734960156
2009-07-13,-0.03355085095553001
2009-07-14,0.01956469504884062
2009-07-15,0.036035946729979784
2009-07-16,0.03898488209223494
2009-07-17,0.03435929254535708
2009-07-20,0.034225045070670035
2009-07-21,0.014422840721925567
2009-07-22,0.028154633660111728
2009-07-23,0.031842640001256584
2009-07-24,0.04570353928562021
2009-07-27,0.04829945581253803
2009-07-28,0.024523574539973225
2009-07-29,0.0022054105709603533
2009-07-30,0.0507240537453999
2009-07-31,0.07830560493566097
2009-08-03,0.10664830155047333
2009-08-04,0.11327354122258093
2009-08-05,0.14277263752326697
2009-08-06,0.08464767092380221
2009-08-07,0.07249071578248412
2009-08-10,0.08554227460934172
2009-08-11,0.042360346078613276
2009-08-12,0.0424394021661616
2009-08-13,0.07633958391452467
2009-08-14,0.021524793761232175
2009-08-17,-0.0009066743243550945
2009-08-18,-0.013863244171981037
2009-08-19,-0.010155359957497723
2009-08-20,-0.005989306410135953
2009-08-21,0.013638787121342588
2009-08-24,0.025109881922640298
2009-08-25,0.010915570039717437
