"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Brazil","BRA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12190115073.3641","11992000784.22","16282880590.4373","18604727521.4267","17115832349.3402","16951827614.4205","21453709339.9631","25416088594.8761","27673985821.9234","29061029039.4237","33810560993.4346","39662117473.8288","47073605517.5611","61826422206.6525","84615479016.3177","95414734766.2849","121044193603.271","138463998128.67","157057611873.94","178372038063.206","185449993606.238","203719488313.553","224137528862.438","164482455315.142","164368547549.499","168648649160.71","210339906087.958","218881106852.983","238169586924.164","296337210937.5","363080000000","479080000000","314800000000","340372698757.764","429798216799.625","651096717554.756","722081995423.341","749350055194.805","727365948556.657","506260438695.101","546362229188.303","466801777059.774","415046484083.387","451804366070.848","526579262700.855","707903120522.511","880314769135.292","1101153037543.01","1332412508234.27","1360406473241.97","1750302978626.65","2065310856049.74","1970720393221.03","1993273503084.27","2016692732681.68","1509203462682.98","1520108340498.71","1724238003070.75","1570554891893.37","",
"Barbados","BRB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","365174496.312064","397974847.7892","433212577.237393","483200914.831204","584497588.624273","665937453.388356","773877591.607418","791527867.548352","828916621.090837","904688509.918958","921443842.291056","1102272162.2831","1215581961.91518","1218465668.97032","1348481081.88734","1686620593.6459","1724009347.18839","1671300000","1748421418.98275","1775667478.74509","1953562372.59484","2059911500.02486","2213245164.81877","2426291453.28892","2576343658.33043","2691200000","2749300000","2754400000","2768200000","3079300000","3446250000","3737750000","3901150000","4043250000","3995600000","3963550000","4210500000","4151450000","4385100000","4375550000","4363900000","4394000000","4592552650","","",
"Brunei Darussalam","BRN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","263449464.483565","330620334.837431","277238141.492634","301713536.115438","294195250.659631","405591832.980778","752848869.79264","598759880.721352","662616822.429906","799810695.693327","","","","","","1520791673.07594","1707586206.89655","1828548275.06367","2269490484.9601","2643272682.26266","2691501898.6513","3001269930.85932","3268085106.38298","3349946120.68966","2841180688.33652","2903244837.75811","3039279582.36659","3122305631.52313","3083575561.26438","3369624612.55883","3827177375.45853","3895461727.95001","4344074516.96142","5240130051.0915","5012983347.44567","5113776983.36312","5053171983.86505","5835917004.53136","6133162612.03585","6409846547.31458","6329913180.74191","5798967197.61437","5400894592.05097","5694482076.90636","5926601898.44499","",
"Bhutan","BTN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308514147.752559","289877181.606273","350217292.73812","412781771.146415","478522372.021183","607189780.045352","522708861.76529","873030995.078419","833671381.811829","907659698.421454","1055546977.85495","1121800280.69123","1028609657.69165","1364112645.86725","1358370624.04247","1566109052.10913","1496308612.3583","1749448705.19152","","",
"Botswana","BWA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","33463900.1822515","36184273.1215895","39069115.3792233","41765972.3193066","44744179.5622473","48373586.4861092","51394700.13947","59064853.5564854","72315202.2315202","70811864.6428074","87520938.0234506","98993288.590604","119360291.249512","176343466.359314","232523914.64312","278093306.288032","305657773.689052","383610451.306413","472893021.009418","605950920.245399","777985074.626866","842117843.910601","782023890.45353","833394110.67554","840110905.730129","690555029.959003","826007131.073386","1136160581.33302","1317592693.86416","1566678247.05941","2174630475.67858","2377077562.32687","2611176944.58928","2634951095.70385","2847798554.71951","3287100497.79958","2984056314.30119","3194587487.67393","3208760264.08576","3297033128.62209","3370241875.41652","3180750530.71287","3249960491.7981","4550920402.43237","5403020903.91869","5711145976.83156","5647674005.41411","6261420766.27354","7050892293.72043","7367670598.59401","8810355378.59162","9949458965.80972","11449776871.1064","10516169748.4194","11125176858.5466","10711945897.9169","10495982093.7145","12064769893.8864","12988371636.9911","",
"Central African Republic","CAF","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","102367473.085718","108456325.346031","111830402.683276","118359453.489644","128149075.694454","134252347.069647","146940068.805398","161787977.198457","170864424.532254","176565252.580583","173297586.025627","179040625.516376","208310518.371797","235991694.528044","281672937.836278","397548770.979255","429377507.056901","494953388.4973","608005374.554798","721130341.253545","867603613.410855","701313034.005995","788551878.03764","662859418.840831","636548431.686709","815063782.238911","1095967466.91292","1177873177.50983","1224419016.12969","1164872512.72146","1384523449.23031","1320736926.32119","1370903820.97216","1214009194.7171","765317728.75842","1025210137.90688","976233324.288968","862438565.393355","916291805.533944","917550984.238892","858194067.27443","886874414.372506","937439181.03635","1064011668.43857","1250215860.46012","1314060964.06588","1424481071.64393","1674869404.68232","1979321169.32405","1936197852.41546","1924877149.55469","2206161324.15531","2374798477.88687","1572678325.64165","1689791577.31865","1484143616.65704","1718332056.79112","2024749928.96344","","",
"Canada","CAN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","32695764216.8386","33158772309.4787","35119813036.7838","37861761304.3632","41188960406.7964","45754406574.3441","50204501458.4514","55424954339.5673","61109333669.6542","68244808115.6092","77093483858.1897","87874532781.089","99246075392.4608","119651329243.354","134726700747.149","158085192697.769","163887165021.157","169085649162.795","183261055147.687","206358193636.675","227783801818.333","240962956958.742","262864329763.064","270316577870.435","278952764555.108","294001439366.679","331370286576.169","385080035752.011","432435810810.811","467782824820.021","498112071222.833","488424753867.792","472256414231.455","459789103690.685","469605071407.753","486805280528.053","502667918532.428","487794405123.02","512841085010.433","548627028482.93","551596720041.322","576797298158.415","677161515951.752","761498078401.23","861312922924.575","972376586741.89","1087061726096.27","1152238050609.18","1093273554369.7","1269283404963.08","1382083117600.63","1409900648420.04","1416213071543.49","1374055614637.64","1224871675624.26","1217598473629.55","1299732189846.32","1353891424724.55","",
"Central Europe and the Baltics","CEB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303314915215.408","324853302136.111","320372751232.48","350152083022.981","343657141520.993","338806701500.597","372381597657.554","423001920559.76","506846134455.369","600655878475.005","694339905993.794","774974170826.452","961132385732.1","1173151158753.7","1001995975177.35","1018901730566.37","1106331630247.22","1036468284163.54","1079990166305.37","1101135780624.09","952619360731.551","976857729178.719","1079670158012.32","1209432896308.78","",
"Switzerland","CHE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","15466010747.7704","18483576525.7989","22686505537.664","30806434024.2669","35969588258.987","43261367605.4701","46342836973.9158","49965654545.4545","69121386968.6801","78510399831.5992","83350303753.6552","76293524488.3413","78562726887.6521","79605019960.9356","74505208664.936","74958158031.8261","106950431652.677","133791881102.468","142591820542.609","136241621370.499","172400717319.32","179404164783.821","191360901436.496","185581045005.414","203065161219.566","239101453023.256","233496290938.511","202649154551.092","207199439922.748","204515808214.619","188152646790.621","193479248933.397","210732291928.654","247921120665.33","274092408122.236","280907915354.963","285859758015.632","309257451016.328","355501270058.166","358753820329.014","382129754144.442","453537207474.074","435763516519.855","450282439968.436","461509240374.322","443457789112.539","439137524353","446439941436.829","456906449337.856","",
"Channel Islands","CHI","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
