ds,predicted_y_train,actual_y_train
1991-12-03,5617.008333333333,5578.0
1991-12-04,5588.63375,5570.0
1991-12-05,5561.757104166666,5550.0
1991-12-06,5610.669959374999,5607.0
1991-12-09,5638.011790677083,5865.0
1991-12-10,5641.162380210936,5585.0
1991-12-11,5651.28716588815,5685.0
1991-12-12,5676.151524182557,5685.0
1991-12-13,5702.559100391685,5730.0
1991-12-16,5716.353722077936,5767.0
1991-12-17,5785.598491515168,5730.0
1991-12-18,5739.309666090925,5751.0
1991-12-19,5760.61681606214,5762.0
1991-12-20,5781.297656865247,5740.0
1991-12-23,5794.887539708508,5870.0
1991-12-24,5811.531916693934,5828.0
1991-12-25,5829.958512528631,5835.0
1991-12-26,5829.131438155062,5835.0
1991-12-27,5849.863010062814,5835.0
1991-12-30,5919.381160565955,5825.0
1991-12-31,5868.145218594253,5810.0
1992-01-01,5903.205396190631,5920.0
1992-01-02,5896.430645166829,5920.0
1992-01-03,6072.010988883504,6072.0
1992-01-06,6095.078040358929,6320.0
1992-01-07,6170.093019509689,6221.0
1992-01-08,6144.37788480796,6200.0
1992-01-09,6013.124087420617,6110.0
1992-01-10,6019.131048915853,6152.0
1992-01-13,6095.8513130087285,5951.0
1992-01-14,5855.051192555267,5991.0
1992-01-15,6035.057160940606,5830.0
1992-01-16,5884.236202349757,5825.0
1992-01-17,5826.992171664138,5730.0
1992-01-20,5826.460230737415,5755.0
1992-01-21,5828.038865288861,5805.0
1992-01-22,5783.889212718609,5895.0
1992-01-23,5781.760747728107,5797.0
1992-01-24,5805.008879873427,5735.0
1992-01-27,5790.449506697291,5801.0
1992-01-28,5810.127924003857,5806.0
1992-01-29,5810.785392607671,5840.0
1992-01-30,5799.114392428523,5820.0
1992-01-31,5794.248579791608,5799.0
1992-02-03,5785.052126003679,5756.0
1992-02-04,5769.550830285917,5775.0
1992-02-05,5752.190387491395,5795.0
1992-02-06,5773.206012625567,5880.0
1992-02-07,5801.568442219148,5995.0
1992-02-10,6112.91947855098,6100.0
1992-02-11,6201.210386828093,6005.0
1992-02-12,5886.254179875066,6020.0
1992-02-13,5981.972364155123,6080.0
1992-02-14,6079.4925055787235,6110.0
1992-02-17,6117.906688941119,6110.0
1992-02-18,6132.479011851305,6201.0
1992-02-19,6133.828519179427,6190.0
1992-02-20,6151.325484502468,6192.0
1992-02-21,6127.784554674519,6208.0
1992-02-24,6091.973338414573,6175.0
1992-02-25,6109.891196667104,6212.0
1992-02-26,5989.896026966933,6170.0
1992-02-27,6165.445725351563,6037.0
1992-02-28,5867.509791997716,5955.0
1992-03-02,5878.489519274688,5855.0
1992-03-03,5883.161388938238,5910.0
1992-03-04,5937.358583537521,5860.0
1992-03-05,5983.166993339828,5890.0
1992-03-06,6190.631709042206,5990.0
1992-03-09,5931.351539050027,6020.0
1992-03-10,5938.5148087416455,5995.0
1992-03-11,6040.100029837324,5980.0
1992-03-12,5950.705655668769,5980.0
1992-03-13,5925.608986911119,5910.0
1992-03-16,5909.289810977739,5845.0
1992-03-17,5939.742300412904,5900.0
1992-03-18,5928.897131507651,5905.0
1992-03-19,6026.767228790727,5932.0
1992-03-20,6024.039316005141,6160.0
1992-03-23,6068.910387405005,6040.0
1992-03-24,6067.757239854527,6020.0
1992-03-25,6047.458875347232,6050.0
1992-03-26,6050.337017766246,6065.0
