ds,predicted_y_train,actual_y_train
2002-10-30,11284.597076923075,11780.0
2002-10-31,11350.640267307692,11945.0
2002-11-01,11140.460703749999,11746.0
2002-11-04,11231.83682547596,12278.0
2002-11-05,11230.099782134374,11826.0
2002-11-06,11345.517405856477,11977.0
2002-11-07,11249.231353072377,12029.0
2002-11-08,11151.603016879842,11760.0
2002-11-11,11147.059561954604,12092.0
2002-11-12,11023.038145821565,12274.0
2002-11-13,11220.33466849726,12147.0
2002-11-14,11629.553296152895,12499.5
2002-11-15,11862.345528268226,12070.0
2002-11-18,11929.608506604716,12080.0
2002-11-19,11855.878547319566,12069.0
2002-11-20,11872.113782377852,11833.0
2002-11-21,12237.431202265976,11768.0
2002-11-22,12337.484723917738,12088.0
2002-11-25,12178.228738959779,12060.0
2002-11-26,12193.996041292383,12032.0
2002-11-27,12117.132381818541,12140.0
2002-11-28,12203.004464371006,12279.0
2002-11-29,12039.350366531864,12562.5
2002-12-02,11987.075763132498,12598.0
2002-12-03,11980.73857539994,12808.0
2002-12-04,11969.341293909372,12692.0
2002-12-05,12136.026709465865,12786.0
2002-12-06,12154.49594843938,12920.0
2002-12-09,12436.160085401974,13212.0
2002-12-10,12354.167351958957,13268.0
2002-12-11,12404.36837957352,13113.6
2002-12-12,12579.22376705041,13471.3
2002-12-13,12687.444329056822,13487.0
2002-12-16,12662.08652871164,14294.999999999998
2002-12-17,12659.889516355443,14611.999999999998
2002-12-18,12873.484016730314,14828.0
2002-12-19,12800.840547678707,14908.0
2002-12-20,12805.32880341088,15060.0
2002-12-23,12828.452699693229,15730.0
2002-12-24,12967.654503499134,15898.0
2002-12-25,12935.228734301778,15898.0
2002-12-26,12992.862859618248,15898.0
2002-12-27,13190.245837072918,16467.0
2002-12-30,13235.063908676895,16590.0
2002-12-31,13098.950979415655,16583.0
2003-01-01,13209.167590001054,16583.0
2003-01-02,13246.71763557487,16921.0
2003-01-03,13239.148393418782,17184.0
2003-01-06,12647.275438744677,15285.0
2003-01-07,12452.947091027196,15310.0
2003-01-08,12553.892529903682,16148.0
2003-01-09,12577.662785497114,16163.999999999996
