ds,predicted_y_train,actual_y_train
1998-10-29,7635.745381355932,7846.0
1998-10-30,7569.490319915253,7812.0
1998-11-02,7649.627590148305,7865.0
1998-11-03,7657.859308638771,8070.5
1998-11-04,7653.488375765625,8050.0
1998-11-05,7718.2115657403465,7920.5
1998-11-06,7772.394771146007,7972.0
1998-11-09,7864.774213093137,8161.0
1998-11-10,7772.6197457816925,8085.0
1998-11-11,7767.0242076470495,7984.2
1998-11-12,7844.68410447008,7746.6
1998-11-13,7774.957885964769,7925.0
1998-11-16,7696.493280263007,7939.0
1998-11-17,7682.551800208363,7799.0
1998-11-18,7728.292949540815,7806.999999999998
1998-11-19,7706.558232611076,7840.999999999999
1998-11-20,7546.37241542807,7839.999999999998
1998-11-23,7625.865188741846,7880.999999999999
1998-11-24,7631.076626145042,7967.999999999999
1998-11-25,7690.69435575738,7902.999999999998
1998-11-26,7694.251870155417,7934.999999999998
1998-11-27,7805.752364086917,7937.999999999999
1998-11-30,7898.265339176856,7976.999999999998
1998-12-01,7868.56214188252,7786.999999999998
1998-12-02,7846.761775070132,7884.999999999998
1998-12-03,7898.074809442137,8144.999999999998
1998-12-04,7903.05496315265,8207.0
1998-12-07,7925.956235464847,7895.999999999999
1998-12-08,7888.07681963428,7940.999999999999
1998-12-09,7833.436029259111,7991.199999999999
1998-12-10,7883.133272882086,7921.5999999999985
1998-12-11,7823.245943167094,7873.0
1998-12-14,7787.300176535686,7901.0
1998-12-15,7793.124207789998,8077.999999999998
1998-12-16,7894.130963762301,8148.999999999998
1998-12-17,8029.276127185239,8129.499999999998
1998-12-18,8027.705411744455,8064.999999999999
1998-12-21,8081.770959865359,8009.999999999999
1998-12-22,8007.037816218144,8235.999999999998
1998-12-23,8064.660240128581,8234.999999999998
1998-12-24,8043.730822482734,8365.999999999998
1998-12-25,8004.551168404183,8366.0
1998-12-28,8047.710812009876,8365.999999999998
1998-12-29,8035.485246668476,8344.999999999998
1998-12-30,7963.161401907775,8425.0
1998-12-31,7958.549518842877,8460.0
1999-01-01,7953.58122041461,8460.0
1999-01-04,7891.926812938725,8294.999999999998
1999-01-05,7845.825935032758,8288.999999999998
1999-01-06,7742.248221311156,8238.499999999998
1999-01-07,7847.926881761218,8161.999999999998
1999-01-08,7857.198511357717,8120.0
1999-01-11,7861.695758411315,8044.0
1999-01-12,7866.464266318654,8184.0
1999-01-13,7802.755633651866,8105.7
1999-01-14,7860.611104434481,8123.699999999998
1999-01-15,7796.9986160088065,8135.0
1999-01-18,7850.848996561006,8224.0
1999-01-19,7960.137389921213,8353.0
1999-01-20,7831.298597419925,8333.0
1999-01-21,7831.62920172517,8467.999999999998
1999-01-22,7885.1753495008525,8416.999999999998
1999-01-25,7894.386007708227,8420.0
1999-01-26,7858.748199696536,8375.999999999998
1999-01-27,7856.539864297091,8483.0
1999-01-28,7896.8565840267265,8619.999999999998
1999-01-29,7923.782996607954,8738.999999999998
1999-02-01,7977.211348129484,8759.999999999998
1999-02-02,7924.0482443805495,8881.999999999998
1999-02-03,7876.067368322515,8955.0
1999-02-04,7847.550190079863,9074.999999999998
1999-02-05,7830.180423292404,9218.499999999998
1999-02-08,7910.302315499309,9051.999999999998
1999-02-09,7972.754846743538,9234.999999999998
1999-02-10,7972.92331644275,9644.999999999998
1999-02-11,8130.357039565345,9849.999999999998
1999-02-12,8195.659082084598,9795.0
1999-02-15,8209.500325727371,9728.0
1999-02-16,8176.492383711114,9755.0
1999-02-17,8271.413523231116,9985.0
1999-02-18,8243.735074606422,9920.0
1999-02-19,8225.442486894555,10070.0
1999-02-22,8248.162114950681,10315.0
1999-02-23,8182.935750821278,10275.0
1999-02-24,8124.33682329277,10160.0
1999-02-25,8182.362052598485,10161.0
1999-02-26,8098.33071585758,9582.0
1999-03-01,8208.04026283701,9813.0
1999-03-02,8196.66060687747,10620.0
1999-03-03,8195.968343646386,10320.0
1999-03-04,8119.868731395629,10305.0
1999-03-05,8112.115421173282,10420.0
1999-03-08,8127.907213440208,10365.0
1999-03-09,8184.381653252506,10325.0
1999-03-10,8137.5932901881215,10490.0
1999-03-11,8154.681365146577,10521.0
1999-03-12,8210.543005154452,10230.0
1999-03-15,8127.1735572401485,10021.0
1999-03-16,8147.321583222568,10050.0
1999-03-17,8115.418212689665,10118.0
1999-03-18,8095.346159027001,10360.0
1999-03-19,8127.365569180233,10440.0
1999-03-22,8161.0640114301095,10195.0
1999-03-23,8106.609106254082,10190.0
1999-03-24,8094.441629957925,10330.0
1999-03-25,7993.843014358981,10270.0
1999-03-26,8061.023079396159,10220.0
1999-03-29,8090.734265369698,10150.0
1999-03-30,8051.395787530228,10142.0
1999-03-31,7930.587970291683,10200.0
1999-04-01,7926.143146539199,10160.0
1999-04-02,7982.588604584513,9985.0
1999-04-05,7948.004721382193,9910.0
1999-04-06,7866.417520508106,9931.0
1999-04-07,7813.553678277666,9860.0
1999-04-08,7840.886655309263,9307.0
1999-04-09,7815.1183181224815,9528.0
1999-04-12,7863.838990550545,9933.0
1999-04-13,7893.148024927929,9861.0
1999-04-14,7910.382397860655,9906.5
1999-04-15,7793.385268136154,9573.25
1999-04-16,7697.854850710255,9630.0
1999-04-19,7684.631984278282,9660.0
1999-04-20,7621.143179530861,9580.0
1999-04-21,7646.762510313341,9540.0
1999-04-22,7600.749232297214,9540.0
1999-04-23,7707.761916075481,9540.0
1999-04-26,7708.843222316228,9515.0
1999-04-27,7561.098204061859,10090.0
1999-04-28,7571.374257091832,9970.0
1999-04-29,7484.114969736924,10070.0
