ds,predicted_y_train,actual_y_train
1991-12-02,5560.0,5560.0
1991-12-03,5578.0,5578.0
1991-12-04,5570.0,5570.0
1991-12-05,5550.0,5550.0
1991-12-06,5607.0,5607.0
1991-12-09,5865.0,5865.0
1991-12-10,5585.0,5585.0
1991-12-11,5685.0,5685.0
1991-12-12,5685.0,5685.0
1991-12-13,5730.0,5730.0
1991-12-16,5767.0,5767.0
1991-12-17,5730.0,5730.0
1991-12-18,5751.0,5751.0
1991-12-19,5762.0,5762.0
1991-12-20,5740.0,5740.0
1991-12-23,5870.0,5870.0
1991-12-24,5828.0,5828.0
1991-12-25,5835.0,5835.0
1991-12-26,5835.0,5835.0
1991-12-27,5835.0,5835.0
1991-12-30,5825.0,5825.0
1991-12-31,5810.0,5810.0
1992-01-01,5920.0,5920.0
1992-01-02,5920.0,5920.0
1992-01-03,6072.0,6072.0
1992-01-06,6320.0,6320.0
1992-01-07,6221.0,6221.0
1992-01-08,6200.0,6200.0
1992-01-09,6110.0,6110.0
1992-01-10,6152.0,6152.0
1992-01-13,5951.0,5951.0
1992-01-14,5991.0,5991.0
1992-01-15,5830.0,5830.0
1992-01-16,5825.0,5825.0
1992-01-17,5730.0,5730.0
1992-01-20,5755.0,5755.0
1992-01-21,5805.0,5805.0
1992-01-22,5895.0,5895.0
1992-01-23,5797.0,5797.0
1992-01-24,5735.0,5735.0
1992-01-27,5801.0,5801.0
1992-01-28,5806.0,5806.0
1992-01-29,5840.0,5840.0
1992-01-30,5820.0,5820.0
1992-01-31,5799.0,5799.0
1992-02-03,5756.0,5756.0
1992-02-04,5775.0,5775.0
1992-02-05,5795.0,5795.0
1992-02-06,5880.0,5880.0
1992-02-07,5995.0,5995.0
1992-02-10,6100.0,6100.0
1992-02-11,6005.0,6005.0
1992-02-12,6020.0,6020.0
1992-02-13,6080.0,6080.0
1992-02-14,6110.0,6110.0
1992-02-17,6110.0,6110.0
1992-02-18,6201.0,6201.0
1992-02-19,6190.0,6190.0
1992-02-20,6192.0,6192.0
1992-02-21,6208.0,6208.0
1992-02-24,6175.0,6175.0
1992-02-25,6212.0,6212.0
1992-02-26,6170.0,6170.0
1992-02-27,6037.0,6037.0
1992-02-28,5955.0,5955.0
1992-03-02,5855.0,5855.0
1992-03-03,5910.0,5910.0
1992-03-04,5860.0,5860.0
1992-03-05,5890.0,5890.0
1992-03-06,5990.0,5990.0
1992-03-09,6020.0,6020.0
1992-03-10,5995.0,5995.0
1992-03-11,5980.0,5980.0
1992-03-12,5980.0,5980.0
1992-03-13,5910.0,5910.0
1992-03-16,5845.0,5845.0
1992-03-17,5900.0,5900.0
1992-03-18,5905.0,5905.0
1992-03-19,5932.0,5932.0
1992-03-20,6160.0,6160.0
1992-03-23,6040.0,6040.0
1992-03-24,6020.0,6020.0
1992-03-25,6050.0,6050.0
1992-03-26,6065.0,6065.0
1992-03-27,6005.0,6005.0
1992-03-30,6030.0,6030.0
1992-03-31,6105.0,6105.0
1992-04-01,6065.0,6065.0
1992-04-02,6085.0,6085.0
1992-04-03,6115.0,6115.0
1992-04-06,5997.0,5997.0
1992-04-07,6010.0,6010.0
1992-04-08,5995.0,5995.0
1992-04-09,5995.0,5995.0
1992-04-10,5995.0,5995.0
1992-04-13,5978.0,5978.0
1992-04-14,5960.0,5960.0
1992-04-15,5780.0,5780.0
1992-04-16,5826.0,5826.0
1992-04-17,5826.0,5826.0
1992-04-20,5855.0,5855.0
1992-04-21,5945.0,5945.0
1992-04-22,6055.0,6055.0
1992-04-23,6110.0,6110.0
1992-04-24,6100.0,6100.0
1992-04-27,6020.0,6020.0
1992-04-28,5915.0,5915.0
1992-04-29,5910.0,5910.0
1992-04-30,5945.0,5945.0
1992-05-01,5945.0,5945.0
1992-05-04,5957.0,5957.0
1992-05-05,5895.0,5895.0
1992-05-06,5965.0,5965.0
1992-05-07,5985.0,5985.0
1992-05-08,5985.0,5985.0
1992-05-11,5955.0,5955.0
1992-05-12,5928.0,5928.0
1992-05-13,5875.0,5875.0
1992-05-14,5785.0,5785.0
1992-05-15,5540.0,5540.0
1992-05-18,5625.0,5625.0
1992-05-19,5600.0,5600.0
1992-05-20,5630.0,5630.0
1992-05-21,5620.0,5620.0
1992-05-22,5607.0,5607.0
1992-05-25,5660.0,5660.0
1992-05-26,5665.0,5665.0
1992-05-27,5630.0,5630.0
1992-05-28,5635.0,5635.0
1992-05-29,5635.0,5635.0
1992-06-01,5620.0,5620.0
1992-06-02,5631.0,5631.0
1992-06-03,5755.0,5755.0
1992-06-04,5743.0,5743.0
1992-06-05,5660.0,5660.0
1992-06-08,5555.0,5555.0
1992-06-09,5550.0,5550.0
1992-06-10,5590.0,5590.0
1992-06-11,5565.0,5565.0
1992-06-12,5482.0,5482.0
1992-06-15,5507.0,5507.0
1992-06-16,5542.0,5542.0
1992-06-17,5520.0,5520.0
1992-06-18,5563.0,5563.0
1992-06-19,5585.0,5585.0
1992-06-22,5630.0,5630.0
1992-06-23,5495.0,5495.0
1992-06-24,5345.0,5345.0
1992-06-25,5337.0,5337.0
1992-06-26,5345.0,5345.0
1992-06-29,5390.0,5390.0
1992-06-30,5347.0,5347.0
1992-07-01,5320.0,5320.0
1992-07-02,5315.0,5315.0
1992-07-03,5295.0,5295.0
1992-07-06,5140.0,5140.0
1992-07-07,5160.0,5160.0
1992-07-08,5195.0,5195.0
1992-07-09,5223.0,5223.0
1992-07-10,5140.0,5140.0
1992-07-13,5050.0,5050.0
1992-07-14,5100.0,5100.0
