ds,predicted_y_train,actual_y_train
1991-12-02,4655.95,4640.0
1991-12-03,4734.330833333333,4725.0
1991-12-04,4764.797374999999,4723.0
1991-12-05,4873.237243749999,4835.0
1991-12-06,4942.6991059375,5052.0
1991-12-09,4994.617394567707,4975.0
1991-12-10,5007.46493096276,4954.0
1991-12-11,5061.571510844232,5095.0
1991-12-12,5184.250086386443,5206.0
1991-12-13,5215.212590705765,5255.0
1991-12-16,5242.723220241053,5180.0
1991-12-17,5229.009381253107,5250.0
1991-12-18,5253.159850315762,5253.0
1991-12-19,5264.01784283155,5252.0
1991-12-20,5275.452068306461,5282.0
1991-12-23,5282.908005055117,5290.0
1991-12-24,5281.103405307873,5275.0
1991-12-25,5275.725242239933,5275.0
1991-12-26,5327.928171018596,5275.0
1991-12-27,5249.091246236191,5275.0
1991-12-30,5281.295808548001,5330.0
1991-12-31,5297.146432308736,5400.0
1992-01-01,5325.287212257505,5295.0
1992-01-02,5353.311704120381,5295.0
1992-01-03,5200.998760472234,5195.0
1992-01-06,5209.447076532303,5260.0
1992-01-07,5220.188560630533,5203.0
1992-01-08,5259.474742113924,5207.0
1992-01-09,5346.919903677407,5307.0
1992-01-10,5517.920061208622,5530.0
1992-01-13,5533.055434733765,5720.0
1992-01-14,5708.338712125067,5640.0
1992-01-15,5732.305178668664,5756.0
1992-01-16,5765.562445086309,5821.0
1992-01-17,5777.456341865714,5741.0
1992-01-20,5719.706555543678,5793.0
1992-01-21,5710.179816401439,5695.0
1992-01-22,5674.716970289452,5670.0
1992-01-23,5615.533223358593,5565.0
1992-01-24,5624.48014264226,5636.0
1992-01-27,5700.799587462563,5706.0
1992-01-28,5746.524776408291,5789.0
1992-01-29,5698.1770269466015,5670.0
1992-01-30,5716.821517681056,5689.0
1992-01-31,5790.347008359092,5805.0
1992-02-03,5882.664420753435,5905.0
1992-02-04,5927.125287964491,5960.0
1992-02-05,5939.305457664523,5938.0
1992-02-06,5738.663660108718,5815.0
1992-02-07,5758.250847930284,5770.0
1992-02-10,5770.267387266367,5725.0
1992-02-11,5740.327984892998,5770.0
1992-02-12,5733.84411519806,5746.0
1992-02-13,5697.154395357864,5707.0
1992-02-14,5701.817326204775,5660.0
1992-02-17,5758.502042088395,5760.0
1992-02-18,5840.975149748963,5877.0
1992-02-19,5878.448249749672,5905.0
1992-02-20,5814.401480389351,5872.0
1992-02-21,5830.544893240887,5868.0
1992-02-24,5840.84813077082,5835.0
1992-02-25,5855.583891269565,5875.0
1992-02-26,5861.036847012629,5880.0
1992-02-27,5869.17983801593,5870.0
1992-02-28,5711.8310873660075,5835.0
1992-03-02,5650.488624649686,5700.0
1992-03-03,5638.879834844499,5654.0
1992-03-04,5611.784228855166,5625.0
1992-03-05,5501.308167414698,5585.0
1992-03-06,5434.57372611333,5365.0
1992-03-09,5418.389870022484,5413.0
1992-03-10,5438.079327493621,5315.0
1992-03-11,5422.966894623653,5455.0
1992-03-12,5454.206366928266,5546.0
1992-03-13,5483.758965506786,5410.0
1992-03-16,5524.572714138553,5545.0
1992-03-17,5617.292914407728,5700.0
1992-03-18,5608.125469307333,5661.0
1992-03-19,5638.325996951881,5685.0
1992-03-20,5626.922222780008,5635.0
1992-03-23,5622.324422590298,5620.0
1992-03-24,5632.281570514606,5670.0
1992-03-25,5655.699787810192,5665.0
1992-03-26,5638.73293485007,5692.0
1992-03-27,5613.010589691777,5620.0
1992-03-30,5577.419564808065,5592.0
1992-03-31,5565.466111815985,5575.0
1992-04-01,5561.79542566456,5575.0
1992-04-02,5535.245985505029,5575.0
1992-04-03,5536.942876409545,5584.0
1992-04-06,5542.0613339243555,5500.0
1992-04-07,5469.511573786116,5437.0
1992-04-08,5446.483186100741,5522.0
1992-04-09,5462.275667341261,5440.0
1992-04-10,5459.745799028579,5485.0
1992-04-13,5494.061807371334,5545.0
1992-04-14,5492.536262032973,5515.0
1992-04-15,5481.0650960809035,5545.0
1992-04-16,5474.71207741958,5475.0
1992-04-17,5325.931381442965,5391.0
1992-04-20,5310.881839376113,5315.0
1992-04-21,5234.043043548737,5200.0
1992-04-22,5214.131117200443,5256.0
1992-04-23,5192.052683669956,5245.0
1992-04-24,5324.268671110951,5226.0
1992-04-27,5367.098241848576,5250.0
1992-04-28,5356.582175700602,5361.0
1992-04-29,5394.121312228168,5490.0
