ds,predicted_y_train,actual_y_train
1991-12-03,4733.533333333334,4725.0
1991-12-04,4763.96,4723.0
1991-12-05,4872.358,4835.0
1991-12-06,4941.7759000000015,5052.0
1991-12-09,4993.648028333335,4975.0
1991-12-10,5006.4470964166685,4954.0
1991-12-11,5060.5027845708355,5095.0
1991-12-12,5183.127923799376,5206.0
1991-12-13,5214.034319989344,5255.0
1991-12-16,5241.486035988811,5180.0
1991-12-17,5227.710337788252,5250.0
1991-12-18,5251.7958546776645,5253.0
1991-12-19,5262.585647411547,5252.0
1991-12-20,5273.948263115458,5282.0
1991-12-23,5281.329009604564,5290.0
1991-12-24,5279.445460084792,5275.0
1991-12-25,5273.984399755698,5275.0
1991-12-26,5326.100286410151,5275.0
1991-12-27,5247.171967397325,5275.0
1991-12-30,5279.280565767191,5330.0
1991-12-31,5295.827927388884,5400.0
1992-01-01,5323.942657091662,5295.0
1992-01-02,5351.941789946245,5295.0
1992-01-03,5199.60431277689,5195.0
1992-01-06,5208.029066749067,5260.0
1992-01-07,5218.748118669854,5203.0
1992-01-08,5258.013169782513,5207.0
1992-01-09,5345.438689043097,5307.0
1992-01-10,5516.420893971951,5530.0
1992-01-13,5531.540222671081,5720.0
1992-01-14,5706.809598671862,5640.0
1992-01-15,5730.764561716042,5756.0
1992-01-16,5764.01299706796,5821.0
1992-01-17,5775.901031217448,5741.0
1992-01-20,5718.148669622548,5793.0
1992-01-21,5708.622985956779,5695.0
1992-01-22,5673.165195583714,5670.0
1992-01-23,5613.990902041781,5565.0
1992-01-24,5622.9520994900295,5636.0
1992-01-27,5699.2911060946635,5706.0
1992-01-28,5745.041633111037,5789.0
1992-01-29,5696.685651730478,5670.0
1992-01-30,5715.322801462419,5689.0
1992-01-31,5788.841852038228,5805.0
1992-02-03,5881.153729001296,5905.0
1992-02-04,5925.609962113906,5960.0
1992-02-05,5937.786387619442,5938.0
1992-02-06,5737.141715177954,5815.0
1992-02-07,5756.726866484698,5770.0
1992-02-10,5768.742165110335,5725.0
1992-02-11,5738.802262232299,5770.0
1992-02-12,5732.318562076986,5746.0
1992-02-13,5695.629595428367,5707.0
1992-02-14,5700.293758679721,5660.0
1992-02-17,5756.980061719501,5760.0
1992-02-18,5839.454964657682,5877.0
1992-02-19,5876.92989692606,5905.0
1992-02-20,5812.884798659844,5872.0
1992-02-21,5829.029493490746,5868.0
1992-02-24,5839.333363190782,5835.0
1992-02-25,5854.068809378922,5875.0
1992-02-26,5859.520168192316,5880.0
1992-02-27,5867.6618940154085,5870.0
1992-02-28,5710.312181976391,5835.0
1992-03-02,5648.969031806632,5700.0
1992-03-03,5637.359796946899,5654.0
1992-03-04,5610.263955355215,5625.0
1992-03-05,5499.787833742005,5585.0
1992-03-06,5433.0534730035415,5365.0
1992-03-09,5416.869803329483,5413.0
1992-03-10,5436.559518573772,5315.0
1992-03-11,5421.447381390847,5455.0
1992-03-12,5452.687155689873,5546.0
1992-03-13,5482.2400337029485,5410.0
1992-03-16,5523.0540141207775,5545.0
1992-03-17,5615.774378407507,5700.0
1992-03-18,5606.607015761666,5661.0
1992-03-19,5636.807538370112,5685.0
1992-03-20,5625.403675355625,5635.0
1992-03-23,5620.805717782203,5620.0
1992-03-24,5630.762668845107,5670.0
1992-03-25,5654.18069515175,5665.0
1992-03-26,5637.213721499722,5692.0
1992-03-27,5611.491312873938,5620.0
1992-03-30,5575.900269418815,5592.0
1992-03-31,5563.946831299424,5575.0
1992-04-01,5560.27618301705,5575.0
1992-04-02,5533.726794400142,5575.0
1992-04-03,5535.423742433049,5584.0
1992-04-06,5540.542255904525,5500.0
1992-04-07,5467.9925451999425,5437.0
1992-04-08,5444.964196531251,5522.0
1992-04-09,5460.756703954938,5440.0
1992-04-10,5458.2268480348575,5485.0
1992-04-13,5492.54285541812,5545.0
1992-04-14,5491.0172974829875,5515.0
1992-04-15,5479.546110103427,5545.0
1992-04-16,5473.193064820516,5475.0
1992-04-17,5324.4123411430355,5391.0
1992-04-20,5309.362774432406,5315.0
1992-04-21,5232.52396059825,5200.0
1992-04-22,5212.612025185907,5256.0
1992-04-23,5190.533591687615,5245.0
1992-04-24,5322.749585197011,5226.0
1992-04-27,5365.579165479831,5250.0
1992-04-28,5355.063110282882,5361.0
1992-04-29,5392.602257565389,5490.0
1992-04-30,5491.318561292805,5490.0
1992-05-01,5521.848149637439,5535.0
1992-05-04,5521.169369997659,5577.0
1992-05-05,5650.700725702315,5606.0
1992-05-06,5659.836134727433,5706.0
1992-05-07,5710.863064970576,5710.0
1992-05-08,5884.418383021357,5758.0
1992-05-11,5905.727959770682,5735.0
1992-05-12,5956.670548321644,5872.0
1992-05-13,6128.169877530243,6255.0
1992-05-14,6353.06773256825,6370.0
1992-05-15,6333.161465955636,6420.0
1992-05-18,6303.5322555296,6195.0
