ds,predicted_y_train,actual_y_train
2000-10-27,4620.834198113207,4546.0
2000-10-30,4477.994068396226,4456.0
2000-10-31,4455.049196344338,4441.0
2000-11-01,4630.464392010612,4515.0
2000-11-02,4341.0590738752935,4346.0
2000-11-03,4309.399527569059,4556.0
2000-11-06,4325.399928475814,4521.0
2000-11-07,4139.334311692057,4532.0
2000-11-08,4249.44961218232,4614.0
2000-11-09,4334.294073923512,4891.0
2000-11-10,4324.716041770631,5499.5
2000-11-13,4278.61887216105,6094.5
2000-11-14,4159.720051618159,5533.0
2000-11-15,4145.856290048124,5364.0
2000-11-16,4500.904293229773,5489.5
2000-11-17,4688.479696570507,5418.0
2000-11-20,5017.317596493373,5348.0
2000-11-21,4606.480174431249,5230.0
2000-11-22,4754.023994473566,5149.0
2000-11-23,4516.627552687811,5163.0
2000-11-24,4893.351383152391,5368.0
2000-11-27,4805.412148064727,5450.0
2000-11-28,5454.727627519849,5232.0
2000-11-29,5225.4238132295695,5320.0
2000-11-30,5433.270369196178,5254.0
2000-12-01,4996.75121698109,5420.0
2000-12-04,5047.1664429611255,5360.0
2000-12-05,5130.79580642124,5370.0
2000-12-06,4917.360862289774,5302.0
2000-12-07,4667.182839889486,5135.0
2000-12-08,4570.673976300992,4960.0
2000-12-11,4635.1355522727945,5075.0
2000-12-12,4817.036386278382,4887.0
2000-12-13,4896.815646407619,4915.0
2000-12-14,4733.526585923707,5025.0
2000-12-15,4480.785530747083,5072.0
2000-12-18,4602.333133776667,5540.0
2000-12-19,4664.918580452153,5495.0
2000-12-20,4830.236019621121,5620.0
2000-12-21,4910.356054840763,5685.0
2000-12-22,4831.84059315596,5685.0
2000-12-25,4846.824723467458,5685.0
2000-12-26,4767.585918275329,5685.0
2000-12-27,4903.948879982915,5650.0
2000-12-28,4891.745180490394,5858.0
2000-12-29,4789.271043696614,5858.0
2001-01-01,5114.099393522956,5858.0
2001-01-02,4992.131418409537,5745.0
2001-01-03,4684.027444291972,5700.0
2001-01-04,4749.249924335477,5960.0
2001-01-05,4993.109174784194,6320.0
2001-01-08,4805.081406406466,6310.0
2001-01-09,4885.917378358435,6326.0
2001-01-10,4898.741616641681,6030.0
2001-01-11,4973.128952889233,6215.0
2001-01-12,5038.538552369585,6322.0
2001-01-15,5078.592712884672,6206.0
2001-01-16,4901.765597500449,6325.0
2001-01-17,5046.520920050977,5930.0
2001-01-18,5097.241061298884,5850.0
2001-01-19,5134.773283319903,5780.0
2001-01-22,5082.524398960176,5933.0
2001-01-23,5072.448061980094,6080.0
2001-01-24,5049.74282010873,6180.0
2001-01-25,5094.5410076810585,6100.0
2001-01-26,5200.011223568892,5950.0
2001-01-29,5229.676770298355,6040.0
2001-01-30,5326.634884420144,6090.0
2001-01-31,5362.3041614942595,5958.0
2001-02-01,5322.701487920412,6054.0
2001-02-02,5212.850009495886,6116.0
2001-02-05,5169.371107835243,6305.0
2001-02-06,4984.196111774608,6200.0
2001-02-07,4935.495425803908,5985.0
2001-02-08,5043.659767205414,6110.0
2001-02-09,5186.1481003740555,6020.0
2001-02-12,5177.200511736542,6065.0
2001-02-13,5013.479958282909,6065.0
2001-02-14,4929.5451574541075,6099.0
2001-02-15,4778.592124041246,6095.0
2001-02-16,4775.4304318953455,5866.0
2001-02-19,4768.937581776948,5795.0
2001-02-20,4781.81696733288,6005.0
2001-02-21,4741.407818260897,6045.0
2001-02-22,4635.929983262844,5890.0
2001-02-23,4565.578913174008,5910.0
2001-02-26,4892.902816522188,6012.0
2001-02-27,4844.143128267343,6137.0
2001-02-28,4712.802502723854,6025.0
2001-03-01,4825.825297143821,6170.0
2001-03-02,5136.60813854839,6435.0
2001-03-05,4967.850761982148,6360.0
2001-03-06,5598.562952236663,6347.0
2001-03-07,5653.295916901276,6487.0
2001-03-08,5705.353158437276,6455.0
2001-03-09,5587.98325252717,6477.0
2001-03-12,5489.39585919143,6422.0
2001-03-13,5374.606334111344,6338.0
2001-03-14,5294.544020827295,6603.0
2001-03-15,5426.643728146896,6745.0
2001-03-16,5419.803383823879,6615.0
2001-03-19,5348.8003333070965,6650.0
2001-03-20,5381.909508619454,6888.0
2001-03-21,5380.493380966801,6698.0
2001-03-22,5235.564640234173,6549.0
2001-03-23,5382.826325912927,6605.0
2001-03-26,5331.625960700816,6646.0
2001-03-27,5309.924382060691,6675.0
2001-03-28,5263.036793806961,6699.0
2001-03-29,5255.943791379985,6699.0
2001-03-30,5517.2711783559425,6699.0
2001-04-02,5590.127915251981,6823.0
2001-04-03,5983.27738612302,6772.0
2001-04-04,6095.190230458848,6885.0
2001-04-05,5995.227398966915,6780.0
2001-04-06,5779.154507219812,6695.0
2001-04-09,5858.8085888223695,6850.0
2001-04-10,5932.637480020897,6761.0
2001-04-11,6108.864131655998,6798.0
2001-04-12,6030.140278706867,6836.5
2001-04-13,5845.296474159393,7048.0
2001-04-16,5847.142826789377,7161.0
2001-04-17,5865.381791086133,7146.0
2001-04-18,5791.880452379277,6932.0
2001-04-19,5720.412070100845,7036.0
2001-04-20,6029.793073669651,7144.0
2001-04-23,5988.121599736732,7054.0
2001-04-24,5923.771287348905,7124.0
2001-04-25,6091.7145288397305,7079.5
2001-04-26,6091.961387289482,7120.0
2001-04-27,5943.684436896278,7040.0
2001-04-30,6039.506043219522,7007.0
2001-05-01,5938.414808108464,6870.0
2001-05-02,5749.990169773774,6890.0
2001-05-03,5662.16441202254,6841.5
2001-05-04,5798.592724939473,6841.5
2001-05-07,5887.727135825455,6850.0
2001-05-08,5766.2936292133445,6965.0
2001-05-09,5842.811012144664,7002.0
2001-05-10,5811.6475542823055,7065.5
2001-05-11,5962.951889759191,6926.0
2001-05-14,5762.038688841068,6891.0
2001-05-15,5695.005849868181,6835.0
2001-05-16,6003.015118845019,6888.0
2001-05-17,5762.536021979628,6720.0
2001-05-18,5883.821955422623,6557.0
2001-05-21,5849.050069321593,6424.5
2001-05-22,5811.913756951779,6571.0
2001-05-23,5700.786484205508,6600.0
2001-05-24,5753.164610275682,6610.0
2001-05-25,5844.534460104238,6572.0
2001-05-28,6041.5170556042585,6703.5
2001-05-29,5578.144389242362,6695.0
2001-05-30,5602.865302261321,6599.0
2001-05-31,5787.375804168718,6888.0
2001-06-01,5960.721986983574,6888.0
2001-06-04,6140.064063293327,6888.0
2001-06-05,6111.054022874266,7043.0
2001-06-06,5892.349118029009,7103.0
2001-06-07,5827.124608228887,7068.0
2001-06-08,5574.6236496054635,7056.0
2001-06-11,5298.9766243902295,6967.0
2001-06-12,5430.516162677121,7018.5
2001-06-13,5293.7124330345505,7020.0
2001-06-14,5178.7965440270455,7262.0
2001-06-15,5625.468155035077,7385.0
2001-06-18,5990.194097091173,7468.0
2001-06-19,6128.116392819273,7322.0
2001-06-20,6166.149637820195,7206.0
2001-06-21,6194.451993614137,7237.0
2001-06-22,5693.784759007474,7066.5
2001-06-25,5890.959302254524,7192.0
2001-06-26,5708.980942888926,7072.5
2001-06-27,5739.205789439177,7032.0
2001-06-28,5172.985077949013,7137.0
2001-06-29,5610.112711449348,7252.0
2001-07-02,5236.300625031128,7145.0
2001-07-03,5341.23079274066,7104.0
2001-07-04,5333.123574630205,7053.0
2001-07-05,5772.153825762152,7202.5
2001-07-06,5373.85701305391,7309.5
2001-07-09,5880.357124622558,7328.0
2001-07-10,5654.91954586059,7425.5
2001-07-11,5766.111648982029,7555.0
2001-07-12,5835.768402232232,7684.5
2001-07-13,5754.746476274568,7671.0
2001-07-16,5986.961099883712,7449.0
2001-07-17,5841.8838839856035,7440.0
2001-07-18,5916.791786845805,7499.0
2001-07-19,6024.062149014067,7391.0
2001-07-20,5758.977090746327,7127.0
2001-07-23,5931.837650729495,6727.0
2001-07-24,5520.376379474,6672.0
2001-07-25,5690.538839982498,6653.0
2001-07-26,5904.594171754947,6564.0
2001-07-27,5755.893730218828,6628.5
2001-07-30,5906.880422666736,6740.0
2001-07-31,6593.864601227762,6544.0
2001-08-01,6145.181197312495,6721.0
2001-08-02,6211.475116182459,6646.0
